ID,SKU,UPC,MPN,VPN,Category,Description,Brand,Color,Size,CategoryValid,CorrectedCategory
{4A61520A-866E-40CD-A0E1-5459D727A56C},SRA714031981,710845837500,00.6118.586.001,CK2184,Bike - Parts - Cranks & Chainrings,Sram - Sx Eagle Crankset - 170mm 12-speed 32t Direct Mount Dub Spindle Interface - Black - A1,SRAM,,,TRUE,Bike - Parts - Cranks & Chainrings
{18DB63A8-30E6-40F4-81EC-54ACA110215F},CHA24129438K,710845413810,11.6215.091.000,,Bike - Parts - Cranks & Chainrings,"Truvativ - Trushift Chainring - Black/aluminum - 36t, - 104mm",truvativ,Black,36T 104MM,TRUE,Bike - Parts - Cranks & Chainrings
{CAEA351C-B3C9-4FFA-AEC5-54DE1F78A461},PRO45413433R,708752133310,YCW-815A,CR1238,Bike - Parts - Tools,Problem Solvers - Solvers - Solvers - 8mm Hex Crank Arm Fixing Bolt Cap - ,problem solvers,,8MM,TRUE,Bike - Parts - Tools
{2B584D92-A69C-4765-BDFD-554AF349E61B},551358,722589427077,VP-535 1/2 BK,551358,Bike - Parts - Pedals,Vp Components - Vp Grind 1/2 Inch - Black,Vp Components,,,TRUE,Bike - Parts - Pedals
{8F69BCC9-BE0D-4A90-AB09-55DA59D697BA},PRO82450787S,657993207154,IS160R/IS180F,BR9632,Bike - Parts,Promax - Post Mount Disc Brake Adapter For Is Mount Framefork Fits 180mm Front And 160mm - Rear - Rotors,promax,,,TRUE,Bike - Parts
{095B53D8-EA1E-431F-AD5F-55FB0B1316BA},87841,710845006524,00.0000.200.652,,Bike - Parts - Shifters,Sram - Mrx Comp Microfriction 3sp Front Shifter,Sram,,,TRUE,Bike - Parts - Shifters
{634A861C-9DE0-4792-84DB-5674B19F44D6},FOR24279437R,611056143919,803-00-945,,Bike - Parts - Suspension,Fox - Part Fox Dust Wiper Kit Flangeless - 34mm - Black,Fox,Black,,TRUE,Bike - Parts - Suspension
{030A2B1B-5701-451F-9077-5677DEA7C2A7},W542094,601479745067,PD04IBT1700000000000,W542094,Bike - Parts - Electric,Ride+ - Ride Bosch 2 Without Guard - 175mm - Black,Ride+,,,TRUE,Bike - Parts - Electric
{FCE04254-B755-4EC4-8353-56F2486DA86B},STA34969064R,641300163622,16362,,Bike - Parts - Pedals,"Crank Brothers Stamp 2 Pedals - Platform Aluminum 9/16"" Raw Silver Large",Crank Brothers,,,TRUE,Bike - Parts - Pedals
{29B3BE8C-49E3-4C98-B585-571BEF93C9E6},BRA48702884M,4717592009651,ABOT000072,,Bike - Parts - Brakes - Disc,Tektro - Disc Brake Hydrolic Hose Kit Comp-ws - Black - 1800mm - 5.5mm,tektro,,,TRUE,Bike - Parts - Brakes - Disc
{9028A781-F973-4550-BBD3-57B340C4956B},87838,710845006494,00.0000.200.649,,Bike - Parts - Shifters,Shimano - Mrx Comp Rear Derailleur Shifter - 7 Sp - (shimano - Compatible),Shimano,,7 SP REAR,TRUE,Bike - Parts - Shifters
{CE6FDE25-E4E4-40F7-B2EA-57D2457882AC},XDD26663472S,7630024365989,HWRABM00S3869S,,Bike - Parts - Hubs & Skewers,Dt Swiss - Swiss - Swiss - Sram Xd Driver 3 Pawl Freehub Body W/ No End Cap - -11/12 - Sp,dt swiss,,11/12 SP,TRUE,Bike - Parts - Hubs & Skewers
{5B2DB4E7-094C-458A-831F-58395A0FA92C},437939,768682737736,301620,437939,Bike - Parts - Hubs & Skewers,Delta - Trek Qr-18 100mm Bolt-on - Front - Black,Delta,,,TRUE,Bike - Parts - Hubs & Skewers
{51E3AA16-917C-43B4-8CC7-584286245D85},WMD337321302,009118,WMDROPOUT#12'16,WMDROPOUT#1216-#12,Bike - Parts - Derailleurs,Wm Dropout #12 '16 Derailleur Hanger 12 #12,,,#12,TRUE,Bike - Parts - Derailleurs
{835045D2-6C58-4866-A6A3-584AD43ED829},SRA24350349B,,211191,21191,Bike - Parts - Bottom Brackets,Sram - Dub Pressfit 89/92 Mtb - Bb,Sram,,89/92,TRUE,Bike - Parts - Bottom Brackets
{3F99AC7D-D349-4E3C-905E-58553EBDBB82},427262,689228675629,ECSHG417128,,Bike - Parts - Cassettes & Freewheels,"Shimano - Acera Cs-hg41 Cassette - 7 Sp, 11-28t",Shimano,Nickel,"7 SP, 11-28T",TRUE,Bike - Parts - Cassettes & Freewheels
{1BBA8BD3-6190-4389-89BB-58C6D800CF9E},WHE38698416R,836572002049,AXLE-12,HU1625,Bike - Parts - Wheels,Wheels Manufacturing - Manufacturing - Manufacturing Axle 12 9.5 X 26 X - 146mm - Qr,wheels manufacturing,,,TRUE,Bike - Parts - Wheels
{00EAF86E-1FA6-45D4-9A6F-594396711B58},W504671,601479378760,W504671,W504671,Bike - Parts - Derailleurs,Trek - Part Trek Hanger - Stranglehold - Black,Trek,,,TRUE,Bike - Parts - Derailleurs
{8CCF5ECE-B31B-409F-AB28-5945D795A7AC},531122,601479477203,531122,531122,Bike - Parts - Tubes,Bontrager - Bontrager Standard Fat 27.5 X 3.5-4.8 Presta - 36mm - Rv,Bontrager,,,TRUE,Bike - Parts - Tubes
{9180C5A9-9FF2-4632-833B-595B656C1A25},527849,710845771774,00.7018.209.002,,Bike - Parts - Shifters,Sram - Sram Gx Trigger 11sp - Rh - Bk,Sram,,,TRUE,Bike - Parts - Shifters
{0A4B1892-87AA-4D32-833E-59984D940359},63374,840226002309,.ASN0,,"Bike - Parts - Screws, Bolts and Fasteners",Cane Creek - Nut 1 Steel Some - 1-18 - Alum,Cane Creek,,,TRUE,"Bike - Parts - Screws, Bolts and Fasteners"
{94C4D9D1-257A-4C7C-9823-59B4E934F223},SHI56881184K,689228413283,IRDT6000SGSL,RD0010,Bike - Parts - Derailleurs,Shimano - Deore Rd-t6000-sgs Rear Derailleur - 10 Speed Long - Cage - Black,shimano,,,TRUE,Bike - Parts - Derailleurs
{A9286D6B-784B-46F7-B8A9-5AC102A43693},W543168,601479576173,IS-2-HBS/42/ACB,W543168,Bike - Parts - Headsets,Trek - Part Trek Knock Block - Headset - Assembly,Trek,,,TRUE,Bike - Parts - Headsets
{B48BBAF9-46A9-4148-9A8D-5BA2C68914D6},SRA47885616R,710845779343,00.7018.210.000,LD4550,Bike - Parts - Shifters,Sram - Etap Blip Shift Buttons With 150mm Wires - Black - Pair,SRAM,,,TRUE,Bike - Parts - Shifters
{E3F4CACA-8437-4EAB-B100-5BDA9CB68044},STR22875009G,192790470412,Y0F398030,,"Bike - Parts - Screws, Bolts and Fasteners",Shimano - 105 St-r7020 Hydraulic Brake Shifter Bleed Screw - W/ - O-ring,shimano,,,TRUE,"Bike - Parts - Screws, Bolts and Fasteners"
{1BE7F25F-2BCC-472C-BE8D-5C2573A61216},JAG315107820,4715910023242,BSA030,BR7879,Bike - Parts - Cables & Housing,Jagwire - 90 Degree Brake - Noodle - Bag10,jagwire,,,TRUE,Bike - Parts - Cables & Housing
{BBE605F8-9693-4325-B011-5C3752BED04B},JB63974835,016520,6356,6356-26x1.75-,Bike - Parts - Rims,J&b - 6356 '20 26x1.75-2.125 Rim Strip - Blk-20mm - 26x1.75,j&b,BLK-20MM,26X1.75-,TRUE,Bike - Parts - Rims
{6C452626-576F-48E4-B735-5C89976FD4B9},432586,836572000441,DROPOUT-6,,Bike - Parts - Derailleurs,Wheels Manufacturing - Hanger - Dropout - 6,Wheels Manufacturing,,,TRUE,Bike - Parts - Derailleurs
{752C62CB-5186-49E1-BD65-5CA421774029},JB7292775348,010814,73824,73824-26x1-3/8,Bike - Parts - Wheels,J&b - 73824 '17 Zac 20 Wheel - Rear - 26x1-3/8,j&b,REAR,26X1-3/8,TRUE,Bike - Parts - Wheels
{E602B025-49C9-498C-9F58-5CEDEA682FF6},SCH31272439M,009867,S-W21150,S-W21150-,Bike - Parts - Derailleurs,Schwinn S-w21150 Hg 1 Bolt Der Hanger M,,,,TRUE,Bike - Parts - Derailleurs
{472BCF10-2AA9-472E-AC98-5CF7DF0B2C8F},BMC28397928R,,,,Bike - Parts - Derailleurs,Bmc - Dropout #48 - Derailluer - Hanger,bmc,,#48,TRUE,Bike - Parts - Derailleurs
{E9E491F8-2DD1-4DDF-A23B-5D33F2231C85},553706,763477008848,TWS-1,,Bike - Parts - Tools,Park Tool - Wrench Set - T9-t40 - Tws-1,Park Tool,,,TRUE,Bike - Parts - Tools
{1E898E2F-63CA-4EAC-B2A4-5D5C816F236E},SHI43863702K,689228602243,ESLTX50P7SAT,,Bike - Parts - Derailleurs,Shimano - Shftrtourney7spdset - Sl-tx50sis - Silverblack,shimano,Silver/Black,,TRUE,Bike - Parts - Derailleurs
{D6C8BF9B-2DF3-42AB-8ECC-5D9D8064D99C},W436111,601479223084,W436111,W436111,Bike - Parts - Tubeless Accessories,Bontrager - Tape Bontrager Tubeless Rim Valve Road - Tlr - 70,Bontrager,,,TRUE,Bike - Parts - Tubeless Accessories
{12E7ECFE-CCFB-4AD4-9E0D-5DADCF651AFB},JAG72557660,4715910023761,6009862,CA4416,Bike - Parts - Cables & Housing,Jagwire Sport Shift Cable - 1.1 X 2300mm Slick Stainless Steel For Sram/shimano Box Of 100,Jagwire,,,TRUE,Bike - Parts - Cables & Housing
{25ECE559-B88B-4D2E-AE46-5DD3B6C29007},5252454,812719026673,AXLE15-110-FX,,Bike - Parts - Hubs & Skewers,Wolf Tooth Components - Replacement Axle 15x110mm - Black,Wolf Tooth Components,,,TRUE,Bike - Parts - Hubs & Skewers
{FEE646FE-5959-4915-BB47-5E653BC24EBB},BLA27647155A,4026495810500,11133427.02,SW6147,Bike - Parts - Tires,"Black Jack Tire 26x2.25"" Black Nla",,,,TRUE,Bike - Parts - Tires
{EDA8527E-E83C-4682-871B-5E8F85A19DF6},PRO59606359E,708752073609,03-000196,BR0381,Bike - Parts - Tools,Problem Solvers - Solvers - Solvers - Centerlock To 6-bolt Rotor Adaptor Kit - Qr And - 12mm - Axle,problem solvers,,12MM AXLE,TRUE,Bike - Parts - Tools
{8A7B0764-3E1D-479D-B673-5EC5649CC816},WHE42938842K,601479877614,W566965,W566965,Bike - Parts - Wheels,"Trek - Front Trek J35a/dc20 Rim Brake 24"" 28h - Qr - Black",Trek,,,TRUE,Bike - Parts - Wheels
{EB4E3DCB-CBE9-45E7-8A76-5EF8EB11042D},WMD332107219,009238,WMDROPOUT#79,WMDROPOUT#79-#79,Bike - Parts - Derailleurs,Wm Dropout #79 '15 Derailleur Hanger 79 #79,,,#79,TRUE,Bike - Parts - Derailleurs
{C4EA2BEF-9D42-4404-BFC3-5F1697903605},SRA814649782,710845892189,00.7618.176.000,FD0007,Bike - Parts - Derailleurs,Sram - Force Axs Etap Front Derailleur - 2x12-speed Braze-on Battery Not Included Iridescent - Gray - D2,SRAM,,,TRUE,Bike - Parts - Derailleurs
{DFF3FA46-B5A2-4E6F-8FFB-5F3A7E42A628},PRO15274547K,768686252303,,,Bike - Parts,Blackburn - Plugger - Black,blackburn,Black,,TRUE,Bike - Parts
{D42F66CA-59D6-4764-A2C8-5F4D136CB1B7},582848,710845813030,00.5018.037.026,,Bike - Parts - Brakes - Disc,"Sram - Centerline Disc Brake Rotor - Center Lock, 180mm",Sram,,180MM,TRUE,Bike - Parts - Brakes - Disc
{88D24AC4-ED58-4D4E-B209-5FE009A8846B},W439634,601479867615,W439634,W439634,Bike - Parts - Suspension,Trek - Part Trek Axle Abp Convert 148 - Drive - Black,Trek,,,TRUE,Bike - Parts - Suspension
