ID,SKU,UPC,MPN,VPN,Category,Description,Brand,Color,Size
{8EFC506D-1FF4-498F-9529-189329357683},QBP40667574D,689228613768,FD0024,FD0024,Bike - Parts - Derailleurs,"Shimano - 105 front derailleur - fd-5800-f - front, 11sp",shimano,FRONT,11-SPEED
{A022D1B6-0B71-495F-9327-1894B3597DEA},63377,840226002330,.ASN8,,"Bike - Parts - Screws, Bolts and Fasteners",Star Nut 1-18 steel some 1-141-18 alum,Cane Creek,,
{D526B518-9992-4491-BE78-18AA56C40888},ERG42661712N,4260477074737,42410301,HT0321,Bike - Parts - Grips and Tape - Grips,Ergon GP1 Evo BioKork Grips - Lock-On Small Black/Tan,Ergon,,
{EDA67DA7-BB8A-46B3-BAEA-18DE9F8AD408},517009,601479320868,517009,517009,Bike - Parts - Derailleurs,Frame Part trek stranglehold adjustable dropout,Trek,,
{32A25DD6-34A2-495B-9AE5-193EBC8B0C6F},CHA351435520,072774225804,,22580,Bike - Parts - Cranks & Chainrings,Chainring Sunlt adapter 22to19mm bgof10,sunlite,,
{D5DE6FFD-4BB1-4A3F-B6D9-1991BA55EAC2},WOL52999079K,810006807851,10430-B,,Bike - Parts - Cranks & Chainrings,Chainring Wolf Tooth 104 BCD 30T 4-Bolt Drop Stop B Black,Wolf Tooth Components,Black,
{16AD67EF-7A67-4D4D-BBA1-19934DD4F489},280779,641300600127,10060,,Bike - Parts,Crack Brothers - premium cleat - ultra durable brass w/ 6 degree float,Crank Brothers,,
{A90968B8-BA1C-41DF-A4CE-1995ECD16285},SHI63558290K,192790447827,ISLM8100RAP,,Bike - Parts - Shifters,SHIFT LEVER SL-M8100 DEORE-XT RIGHT 12-SPD,Shimano,,
{8107D5FE-8452-4289-8B18-1A0C6BF449A4},599898,601842322239,599898,599898,Bike - Parts - Suspension,Suspension Part trek shock mount kit 69mmx10mm 2020 black,Trek,,
{0068DD80-EE50-4300-924C-1A557D23F1CC},559669,710845805523,00.5018.037.014,,Bike - Parts - Brakes,"Sram - centerline disc brake rotor - silver - 6 bolt, 180mm",Sram,,"6 BOLT, 180 MM"
{0053756A-8AAE-43BC-864B-1A9567B26115},END37660387M,185843000612,FK-6607,FK6607,Bike - Parts - Forks - Suspension,Enduro Seal and Wiper kit for Marzocchi 32mm,Enduro,,
{10DF44A6-D70D-4750-87AF-1B836DFAA8EE},597293,641300162670,16267,,Bike - Parts - Pedals,Crankbrothers - stamp 1 pedals - black - large,Large,Black,L
{D7E1AE9D-E7E2-472E-8DB8-1C2008B33C43},BBS33304671Y,072774213016,,21301,Bike - Parts,Bb Set or8 68x110.5 torqlite sq eng campy,origin8,,
{18F5D428-A517-451F-B072-1C31EFD043FF},270473,710845019517,86.2706.114.105,,Bike - Parts - Chains,06 Cn pc951 114li w pwr.lnk 9spd 1pc,Sram,,
{B6D7B0EF-4FD1-4B91-B0F0-1C4ABCCC88B3},5254534,710845828041,00.5315.035.031,,Bike - Parts - Brakes - Pads,Am Db brake pad orgstl elxrdblvl pwr,Sram,,
{D5527F79-9AAE-43C1-B74F-1C60906454D1},88556,763477000491,BBT-9,,Bike - Parts - Tools,Park Tool - hollowtech-ii bb cup/arm tool - bbt-9,Park Tool,,
{C5F7882A-BD8A-4BD4-B743-1C6D813B9FF3},STE24452363K,072774580095,,58009,Bike - Parts - Stems,"Origin8 - pro-fit alloy ergo threadless stem - 80 x 25.4, +/- 8°",origin8,,"80 X 25.4, +/- 8°"
